t1,t2,t3,t4,t5,t6,nearest metro station distance(in km),type of road,nearest police chowki,average dist from police chowki,number of police chowki,population density,rape,Acid attack,Assault on Women,Sexual Harassment,use of criminal force to women,Stalking,Other Assault on Women,sum,crm
0,1,0,0,0,0,2.2,flyover,2.6,11,5,2731929,280,595,150,39,0,406,665,0,372.2915
0,1,0,0,0,0,0.568,major district road,2.9,10,4,2731929,280,595,150,39,0,406,665,0,372.2915
0,1,0,0,0,0,3.2,flyover,5.2,4,5,2731929,280,595,150,39,0,406,665,0,372.2915
0,1,0,0,0,0,1.3,district,5.2,8,5,2731929,280,595,150,39,0,406,665,0,372.2915
0,1,0,0,0,0,0.75,district,0.3,13,3,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,1.2,district,0.7,7,5,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,1.1,district,1.5,10,6,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,1.3,district,2.2,3,3,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,1.7,district,1.5,12,4,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,1.3,major district road,5.7,13,2,142004,20,56,25,1,14,15,18,0,23.5671
0,1,0,0,0,0,1.5,major district road,1.6,9,3,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,0.35,district,2.5,11,6,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,0.623,major district road,1.1,10,6,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,2.5,major district road,0.7,4,4,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,2,major district road,0.6,13,2,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,0.134,major district road,0.7,11,2,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,2,district road,0.3,6,4,2731929,280,595,150,39,0,406,665,0,372.2915
0,1,0,0,0,0,1,district road,0.3,4,5,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,0.35,district road,1.7,11,5,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,2.3,major district road,0.6,4,5,2292958,234,494,86,57,99,248,68,0,195.9794
0,1,0,0,0,0,0.05,district road,0.5,15,2,3656539,165,404,109,23,61,208,51,0,155.3409
0,1,0,0,0,0,4.6,major district road,31.1,5,3,1709346,230,446,171,36,91,143,114,0,191.7549
0,1,0,0,0,0,1.3,district road,5.9,4,5,2292958,234,494,86,57,99,248,68,0,195.9794
0,1,0,0,0,0,3.5,district road,2,3,2,2292958,234,494,86,57,99,248,68,0,195.9794
0,1,0,0,0,0,1.5,district road,2,9,2,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,11,major distict road,0.4,15,3,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,0.6,major district road,0.5,10,5,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,1.1,district road,0.85,6,3,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,1.5,major district road,0.4,4,2,2731929,280,595,150,39,0,406,665,0,372.2915
0,1,0,0,0,0,0.95,district road,0.3,11,5,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,4,district road,523.8,15,4,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,0.55,district road,4.1,10,5,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,1,district road,0.7,10,6,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,12,district road,2.2,7,3,2731929,280,595,150,39,0,406,665,0,372.2915
0,1,0,0,0,0,3,district road,0.4,12,5,2292958,234,494,86,57,99,248,68,0,195.9794
0,1,0,0,0,0,11,district road,0.4,14,6,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,10,district road,0.9,8,4,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,9,district road,1.1,15,6,2731929,280,595,150,39,0,406,665,0,372.2915
0,1,0,0,0,0,6.1,major district road,0.156,7,3,2292958,234,494,86,57,99,248,68,0,195.9794
0,1,0,0,0,0,0.55,major district road,0.2,6,6,582320,91,212,54,9,26,123,37,0,84.7858
